,都道府県,世帯総数,一般世帯,施設
0,北海道,"2,444,810","2,438,206","6,604"
1,青森県,"510,945","509,241","1,704"
2,岩手県,"493,049","489,383","3,666"
3,宮城県,"944,720","942,569","2,151"
4,秋田県,"388,560","387,392","1,168"
5,山形県,"393,396","392,288","1,108"
6,福島県,"737,598","730,013","7,585"
7,茨城県,"1,124,349","1,122,443","1,906"
8,栃木県,"763,097","761,863","1,234"
9,群馬県,"773,952","772,014","1,938"
10,埼玉県,"2,971,659","2,967,928","3,731"
11,千葉県,"2,609,132","2,604,839","4,293"
12,東京都,"6,701,122","6,690,934","10,188"
13,神奈川県,"3,979,278","3,965,190","14,088"
14,新潟県,"848,150","846,485","1,665"
15,富山県,"391,171","390,313",858
16,石川県,"453,368","452,355","1,013"
17,福井県,"279,687","278,990",697
18,山梨県,"330,976","330,375",601
19,長野県,"807,108","805,279","1,829"
20,岐阜県,"753,212","751,726","1,486"
21,静岡県,"1,429,600","1,427,449","2,151"
22,愛知県,"3,063,833","3,059,956","3,877"
23,三重県,"720,292","718,934","1,358"
24,滋賀県,"537,550","536,706",844
25,京都府,"1,152,902","1,151,422","1,480"
26,大阪府,"3,923,887","3,918,441","5,446"
27,兵庫県,"2,315,200","2,312,284","2,916"
28,奈良県,"530,221","529,258",963
29,和歌山県,"392,332","391,465",867
30,鳥取県,"216,894","216,244",650
31,島根県,"265,008","264,080",928
32,岡山県,"772,977","771,242","1,735"
33,広島県,"1,211,425","1,209,288","2,137"
34,山口県,"598,834","597,426","1,408"
35,徳島県,"305,754","304,911",843
36,香川県,"398,551","397,602",949
37,愛媛県,"591,972","590,629","1,343"
38,高知県,"319,011","318,086",925
39,福岡県,"2,201,037","2,196,617","4,420"
40,佐賀県,"302,109","301,009","1,100"
41,長崎県,"560,720","558,380","2,340"
42,熊本県,"704,730","702,565","2,165"
43,大分県,"486,535","485,001","1,534"
44,宮崎県,"462,858","461,389","1,469"
45,鹿児島県,"724,690","722,372","2,318"
46,沖縄県,"560,424","559,215","1,209"
